#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
158,Danilo Gallinari\gallida01,SF,29,LAC,11,11,31.7,4.4,12.6,0.345,1.5,5.6,0.258,2.9,7,0.416,0.403,3.2,3.3,0.972,0.2,4.2,4.4,2.5,0.7,0.2,1.5,1.5,13.4
159,Langston Galloway\gallola01,SG,26,DET,35,0,14.9,2.3,5.8,0.389,1.5,3.9,0.37,0.8,1.9,0.431,0.515,0.6,0.7,0.808,0.2,1.5,1.7,0.7,0.6,0.1,0.3,0.7,6.6
160,Marc Gasol\gasolma01,C,33,MEM,42,42,34.6,6.3,15.1,0.418,1.4,4.2,0.33,5,11,0.452,0.464,4.4,5.2,0.836,1.3,7.3,8.6,4,0.7,1.5,2.9,2.5,18.4
161,Pau Gasol\gasolpa01,C,37,SAS,44,44,25,3.9,8.4,0.464,0.8,1.9,0.424,3.1,6.5,0.476,0.512,1.8,2.3,0.786,1.5,6.7,8.2,3.3,0.3,1,1.5,1.5,10.5
162,Rudy Gay\gayru01,PF,31,SAS,34,5,22.7,4.3,9.1,0.476,0.7,2,0.333,3.6,7.1,0.517,0.513,2.1,2.7,0.785,1.4,3.8,5.2,1.5,0.8,0.6,1.6,1.8,11.5
163,Paul George\georgpa01,SF,27,OKC,42,42,36.5,7,16.2,0.43,3.1,7.2,0.428,3.9,9,0.432,0.526,3.4,4.2,0.806,0.9,4.6,5.5,3,2.2,0.6,2.9,3.1,20.4
164,Marcus Georges-Hunt\georgma01,SG,23,MIN,25,0,4,0.4,0.8,0.524,0.1,0.3,0.286,0.4,0.6,0.643,0.571,0.1,0.3,0.375,0.1,0.1,0.2,0.1,0.2,0,0.1,0.6,1.1
165,Taj Gibson\gibsota01,PF,32,MIN,46,46,33.5,5.1,8.8,0.574,0.2,0.6,0.241,4.9,8.2,0.599,0.583,1.8,2.3,0.776,2.6,5.1,7.7,1.3,0.8,0.7,1.2,2.8,12.1
166,Manu Ginobili\ginobma01,SG,40,SAS,37,0,20.5,3.2,7.2,0.451,1,3.1,0.325,2.2,4.1,0.546,0.521,1.6,1.8,0.866,0.3,1.9,2.2,2.4,0.7,0.3,1.6,1.8,9.1
167,Rudy Gobert\goberru01,C,25,UTA,18,18,29.9,4.2,7.1,0.598,0,0,0,4.2,7.1,0.598,0.598,3.1,4.6,0.683,2.6,6.9,9.6,1.2,0.6,2.3,1.9,2.3,11.6
168,Aaron Gordon\gordoaa01,PF,22,ORL,35,34,33.6,6.7,14.6,0.459,2.1,5.8,0.366,4.6,8.8,0.519,0.531,3.1,4.2,0.743,1.5,6.4,8,2.1,0.8,0.7,1.8,2,18.6
169,Eric Gordon\gordoer01,SG,29,HOU,40,23,32.7,6.5,15.6,0.417,3.2,9.6,0.337,3.3,6,0.546,0.521,3.5,4.2,0.827,0.4,2,2.3,2.6,0.7,0.4,2.3,1.9,19.7
170,Marcin Gortat\gortama01,C,33,WAS,45,45,27.2,3.8,7,0.539,0,0,0,3.8,7,0.539,0.539,1.4,2.4,0.604,2.2,6,8.3,1.8,0.6,0.8,1.2,2.2,9
